time,x,y,vx,vy
0,149600000000.0,0.0,0.0,29783.0
21600,149597232517.89062,643312800.0,-128.12417173067573,29783.0
43200,149591697528.0444,1286613698.8897905,-256.2495299181905,29782.44902267549
64800,149583395055.9747,1929890795.1180768,-384.3737069303305,29781.34704760584
86400,149572325178.341,2573132186.911908,-512.4943348934025,29779.69406452922
108000,149558488022.95312,3216325972.4961615,-640.6090457356861,29777.490073345074
129600,149541883768.77454,3859460250.313075,-768.7154712309086,29774.735084116375
151200,149522512645.92484,4502523119.241824,-896.8112430417428,29771.429117071708
172800,149500374935.68115,5145502678.818139,-1024.893992763326,29767.572202607174
194400,149475470970.47867,5788387029.453962,-1152.9613519667987,29763.164381288105
216000,149447801133.91022,6431164272.657135,-1281.0109522428666,29758.20570385058
237600,149417365860.7249,7073822511.251115,-1409.0404252453768,29752.696231202783
259200,149384165636.82584,7716349849.59472,-1537.0474027349178,29746.636034426145
280800,149348200999.26678,8358734393.801888,-1665.0295166224328,29740.025194776328
302400,149309472536.2481,9000964251.961462,-1792.9843990128518,29732.863803684
324000,149267980887.11154,9643027534.35698,-1920.9096822487404,29725.15196275543
345600,149223726742.33414,10284912353.686474,-2048.8029989539623,29716.88978377291
367200,149176710843.52127,10926606825.282286,-2176.661982077357,29708.077388694972
388800,149126933983.39865,11568099067.330864,-2304.4842649364323,29698.714909656428
410400,149074397005.8034,12209377201.092577,-2432.2674812610667,29688.802488968224
432000,149019100805.6743,12850429351.121506,-2560.0092652372277,29678.340279117092
453600,148961046329.0408,13491243645.485231,-2687.7072515506984,29667.328442765043
475200,148900234573.0115,14131808215.984602,-2815.359075430817,29655.76715274864
496800,148836666585.76132,14772111198.37349,-2942.962372694223,29643.6565920781
518400,148770343466.51788,15412140732.578512,-3070.514779788616,29630.996953936225
540000,148701266365.54703,16051884962.918737,-3198.0139338365193,29617.788441677105
561600,148629436484.13715,16691332038.32535,-3325.457472679053,29604.031268824663
583200,148554855074.5829,17330470112.561283,-3452.8430349197124,29589.72565907101
604800,148477523440.16757,17969287344.440815,-3580.1682599681535,29574.87184627459
626400,148397442935.14496,18607771898.04911,-3707.4307880839806,29559.470074458164
648000,148314614964.71988,19245911942.96173,-3834.6282604205417,29543.520597806593
669600,148229040985.02798,19883695654.46408,-3961.7583190687237,29527.02368066442
691200,148140722503.1146,20521111213.7708,-4088.818607100752,29509.979597533285
712800,148049661076.91254,21158146808.245094,-4215.806768613993,29492.38863306914
734400,147955858315.219,21794790631.618008,-4342.720448774752,29474.251082079263
756000,147859315877.67157,22431030884.207623,-4469.557293862078,29455.567249519125
777600,147760035474.72324,23066855773.138184,-4596.314951311564,29436.337450489
799200,147658018867.61642,23702253512.559162,-4722.991069759145,29416.562010230453
820800,147553267868.3562,24337212323.86421,-4849.583299084894,29396.24126412259
842400,147445784339.68234,24971720435.910057,-4976.089290456818,29375.375557678144
864000,147335570195.04065,25605766085.235306,-5102.506696374646,29353.96524653937
885600,147222627398.55322,26239337516.279137,-5228.833170713611,29332.010696473735
907200,147106957964.98782,26872422981.599915,-5355.066368768233,29309.512283369426
928800,146988563959.72623,27505010742.093697,-5481.203947296084,29286.470393230673
950400,146867447498.7317,28137089067.21263,-5607.2435645615615,29262.885422172883
972000,146743610748.5155,28768646235.18325,-5733.182880379636,29238.757776417566
993600,146617055926.10245,29399670533.22465,-5859.019556159604,29214.08787228709
1015200,146487785298.99554,30030150257.766556,-5984.751254948821,29188.876136199247
1036800,146355801185.13965,30660073714.667248,-6110.37564147643,29163.1230046616
1058400,146221105952.8842,31289429219.431385,-6235.890382197077,29136.828924265672
1080000,146083702020.94495,31918205097.427692,-6361.29314533461,29109.994351680936
1101600,145943591858.36496,32546389684.106503,-6486.58160092577,29082.619753648603
1123200,145800777984.4743,33173971325.217167,-6611.753420863865,29054.705606975225
